code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
LJLAFIR,LJUBLJANA FIR,FIR,LJ,Slovenia,SI,true,1995-10-01,fabce,0,999,524,1
LKAAFIR,PRAHA FIR,FIR,LK,Czech Republic,CZ,true,1996-01-01,fabce,0,999,524,1
LLLLFIR,TEL AVIV FIR,FIR,LL,Israel,IL,true,2016-04-29,,0,999,524,1
LMMMFIR,MALTA FIR,FIR,LM,Malta,MT,true,1989-07-01,bluemed,0,195,524,1
LMMMUIR,MALTA UIR,UIR,LM,Malta,MT,true,1989-07-01,bluemed,195,999,524,1
LOVVFIR,WIEN FIR,FIR,LO,Austria,AT,true,1993-05-01,fabce,0,999,524,1
LPPCFIR,LISBOA FIR,FIR,LP,Portugal,PT,true,1986-01-01,swfab,0,999,524,1
LPPO,REROUTING EXTENSION IN LPPO,OTHER,LP,Portugal,PT,true,1986-01-01,swfab,0,999,524,1
LPPOFIR,SANTA MARIA FIR,FIR,LP,Portugal,PT,true,1986-01-01,swfab,0,999,524,1
LQSBFIR,SARAJEVO FIR,FIR,LQ,Bosnia and Herzegovina,BA,true,2004-03-01,fabce,0,245,524,1
LQSBUIR,SARAJEVO UIR,UIR,LQ,Bosnia and Herzegovina,BA,true,2004-03-01,fabce,245,999,524,1
LRBBFIR,BUCAREST FIR,FIR,LR,Romania,RO,true,1996-09-01,danube,0,999,524,1
LSASFIR,SWITZERLAND FIR,FIR,LS,Switzerland,CH,true,1992-07-01,fabec,0,195,524,1
LSASUIR,SWITZERLAND UIR,UIR,LS,Switzerland,CH,true,1992-07-01,fabec,195,999,524,1
LTAAFIR,ANKARA FIR,FIR,LT,Turkey,TR,true,1989-03-01,,0,999,524,1
LTBBFIR,ISTANBUL FIR,FIR,LT,Turkey,TR,true,1989-03-01,,0,999,524,1
LUUUFIR,CHISINAU FIR,FIR,LU,Moldova,MD,true,2000-03-01,,0,999,524,1
LWSSFIR,SKOPJE FIR,FIR,LW,North Macedonia,MK,true,1998-11-01,,0,999,524,1
LYBAFIR,BEOGRAD FIR,FIR,LY,Serbia,RS,true,2005-07-01,,0,285,524,1
LYBAUIR,BEOGRAD UIR,UIR,LY,Serbia,RS,true,2005-07-01,,285,999,524,1
LZBBFIR,BRATISLAVA  FIR,FIR,LZ,Slovakia,SK,true,1997-01-01,fabce,0,999,524,1
MDCSFIR,SANTO DOMINGO FIR,FIR,MD,,,false,,,0,195,524,1
MDCSUIR,SANTO DOMINGO UIR,UIR,MD,,,false,,,195,999,524,1
MHCCFIR,CENTRAL AMERICA FIR,FIR,MH,,,false,,,0,195,524,1
MHCCUIR,CENTRAL AMERICA UIR,UIR,MH,,,false,,,195,999,524,1
MKJKFIR,KINGSTON FIR,FIR,MK,,,false,,,0,245,524,1
MKJKUIR,KINGSTON UIR,UIR,MK,,,false,,,245,999,524,1
MMFOFIR,OCEANICA MAZATLAN,FIR,MM,,,false,,,0,999,524,1
MMFRFIR,MEXICO,FIR,MM,,,false,,,0,999,524,1
MPZLFIR,PANAMA FIR,FIR,MP,,,false,,,0,999,524,1
MTEGFIR,PORT-AU-PRINCE FIR,FIR,MT,,,false,,,0,999,524,1
MUFHFIR,HABANA FIR/UIR,FIR,MU,,,false,,,0,999,524,1
NFFFFIR,NADI FIR,FIR,NF,,,false,,,0,999,524,1
NTTTFIR,TAHITI OCEANIC FIR,FIR,NT,,,false,,,0,999,524,1
NZZCFIR,NEW ZEALAND FIR,FIR,NZ,,,false,,,0,999,524,1
NZZOFIR,AUCKLAND OCEANIC,FIR,NZ,,,false,,,0,999,524,1
OAKXFIR,KABUL FIR,FIR,OA,,,false,,,0,999,524,1
OBBBFIR,BAHRAIN FIR,FIR,OB,,,false,,,0,150,524,1
OBBBUIR,BAHRAIN UIR,UIR,OB,,,false,,,150,999,524,4
OEJDFIR,JEDDAH FIR,FIR,OE,,,false,,,0,999,524,1
OIIXFIR,TEHRAN FIR,FIR,OI,,,false,,,0,999,524,1
OJACFIR,AMMAN FIR,FIR,OJ,,,false,,bluemed,0,999,524,1
OKACFIR,KUWAIT FIR,FIR,OK,,,false,,,0,999,524,1
OLBBFIR,BEIRUT FIR,FIR,OL,,,false,,,0,195,524,1
OLBBUIR,BEIRUT UIR,UIR,OL,,,false,,,195,999,524,1
OMAEFIR,EMIRATES FIR,FIR,OM,,,false,,,0,145,524,1
OMAEUIR,EMIRATES UIR,UIR,OM,,,false,,,145,999,524,1
OOMMFIR,MUSCAT FIR,FIR,OO,,,false,,,0,999,524,1
OPKRFIR,KARACHI FIR,FIR,OP,,,false,,,0,999,524,1
OPLRFIR,LAHORE FIR,FIR,OP,,,false,,,0,999,524,1
ORBBFIR,BAGHDAD FIR,FIR,OR,,,false,,,0,999,524,1
OSTTFIR,DAMASCUS FIR,FIR,OS,,,false,,,0,999,524,1
OTDFFIR,QATAR FIR,FIR,OT,,,false,,,0,245,524,1
OYSCFIR,SANAA FIR,FIR,OY,,,false,,,0,999,524,1
PAZAFIR,ALASKA FIR,FIR,PA,,,false,,,0,999,524,1
RCAAFIR,TAIPEI FIR,FIR,RC,,,false,,,0,999,524,1
RJJJFIR,JAPAN+PHILIPPINES,FIR,RJ,,,false,,,0,999,524,1
RKRRFIR,INCHEON FIR,FIR,RK,,,false,,,0,999,524,1
RPHIFIR,MANILA FIR,FIR,RP,,,false,,,0,999,524,1
SACFFIR,CORDOBA FIR,FIR,SA,,,false,,,0,999,524,1
SAEFFIR,EZEIZA FIR,FIR,SA,,,false,,,0,999,524,1
SAMFFIR,MENDOZA FIR,FIR,SA,,,false,,,0,999,524,1
SARRFIR,RESISTENCIA FIR,FIR,SA,,,false,,,0,999,524,1
SAVFFIR,COMODORO RIVADAVIA FIR,FIR,SA,,,false,,,0,999,524,1
SBAOFIR,ATLANTICO FIR,FIR,SB,,,false,,,0,999,524,1
SBAZFIR,AMAZONICA FIR,FIR,SB,,,false,,,0,999,524,1
SBBSFIR,BRASILIA FIR,FIR,SB,,,false,,,0,999,524,1
SBCWFIR,CURITIBA FIR,FIR,SB,,,false,,,0,999,524,1
SBREFIR,RECIFE FIR,FIR,SB,,,false,,,0,999,524,1
SCCZFIR,PUNTA ARENAS FIR,FIR,SC,,,false,,,0,999,524,1
SCEZFIR,SANTIAGO FIR,FIR,SC,,,false,,,0,999,524,1
SCFZFIR,ANTOFAGASTA FIR,FIR,SC,,,false,,,0,999,524,1
SCIZFIR,ISLA DE PASCUA FIR,FIR,SC,,,false,,,0,999,524,1
SCTZFIR,PUERTO MONTT FIR,FIR,SC,,,false,,,0,999,524,1
SEFGFIR,GUAYAQUIL FIR/UIR,FIR,SE,,,false,,,0,999,524,1
SGFAFIR,ASUNCION FIR/UIR,FIR,SG,,,false,,,0,999,524,1
SKECFIR,BARRANQUILLA FIR,FIR,SK,,,false,,,0,999,524,1
SKEDFIR,BOGOTA FIR,FIR,SK,,,false,,,0,999,524,1
SLLFFIR,LA PAZ FIR,FIR,SL,,,false,,,0,999,524,1
SMPMFIR,PARAMARIBO FIR,FIR,SM,,,false,,,0,999,524,1
SOOOFIR,FIR CAYENNE,FIR,SO,,,false,,,0,245,524,1
SOOOUIR,UIR CAYENNE,UIR,SO,,,false,,,245,999,524,1
SPIMFIR,LIMA FIR,FIR,SP,,,false,,,0,999,524,1
SUEOFIR,MONTEVIDEO FIR,FIR,SU,,,false,,,0,999,524,1
SVZMFIR,MAIQUETIA FIR,FIR,SV,,,false,,,0,999,524,1
SYGCFIR,GEORGETOWN FIR,FIR,SY,,,false,,,0,999,524,1
TJZSFIR,SAN JUAN OCEANIC FIR/UIR,FIR,TJ,,,false,,,0,999,524,1
TNCFFIR,CURACAO FIR,FIR,TN,,,false,,,0,195,524,1
TNCFUIR,CURACAO UIR,UIR,TN,,,false,,,195,999,524,1
TTZPFIR,PIARCO FIR,FIR,TT,,,false,,,0,245,524,1
TTZPUIR,PIARCO UIR,UIR,TT,,,false,,,245,999,524,1
UAAAFIR,KAZACHSTAN MERGED FI,FIR,UA,,,false,,,0,999,524,1
UACNFIR,UACN NUR-SULTAN FIR,FIR,UA,,,false,,,0,999,524,1
UAIIFIR,SHYMKENT FIR,FIR,UA,,,false,,,0,999,524,1
UATTFIR,AKTOBE FIR,FIR,UA,,,false,,,0,999,524,1
UBBAFIR,BAKU FIR,FIR,UB,,,false,,,0,999,524,1
UCFMFIR,BISHKEK FIR,FIR,UC,,,false,,,0,999,524,1
UCFOFIR,OSH FIR,FIR,UC,,,false,,,0,999,524,1
UDDDFIR,YEREVAN FIR,FIR,UD,Armenia,AM,true,2006-03-01,,0,999,524,1
UEEEFIR,YAKUTSK,FIR,UE,,,false,,,0,999,524,1
